Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
F1_LoginFeatures,Chrome 113.0.0.0,,,2023-05-31 18:18:04,2023-05-31 18:18:49,44.045s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/Common/F1_LoginFeatures/LF1_TC1_SUCCESSFULY LOGIN (P),Chrome 113.0.0.0,,,2023-05-31 18:18:05,2023-05-31 18:18:21,16.342s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-31 18:18:05,2023-05-31 18:18:08,2.882s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-31 18:18:08,2023-05-31 18:18:09,0.177s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 113.0.0.0,,,2023-05-31 18:18:09,2023-05-31 18:18:15,6.093s,PASSED
"setText(findTestObject(""PROJECT WEB/Common/Page_OrangeHRM/input_Username""), username)",Chrome 113.0.0.0,,,2023-05-31 18:18:15,2023-05-31 18:18:17,1.990s,PASSED
"setEncryptedText(findTestObject(""PROJECT WEB/Common/Page_OrangeHRM/input_Password""), password)",Chrome 113.0.0.0,,,2023-05-31 18:18:17,2023-05-31 18:18:17,0.524s,PASSED
"click(findTestObject(""PROJECT WEB/Common/Page_OrangeHRM/button_Login""))",Chrome 113.0.0.0,,,2023-05-31 18:18:17,2023-05-31 18:18:19,1.847s,PASSED
"verifyElementPresent(findTestObject(""PROJECT WEB/Common/Page_OrangeHRM/h6_Dashboard""), 0)",Chrome 113.0.0.0,,,2023-05-31 18:18:19,2023-05-31 18:18:21,2.176s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/Common/F1_LoginFeatures/LF1_TC2_USER ENTER INVALID USERNAME (N),Chrome 113.0.0.0,,,2023-05-31 18:18:21,2023-05-31 18:18:35,13.721s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-31 18:18:22,2023-05-31 18:18:24,2.149s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-31 18:18:24,2023-05-31 18:18:24,0.127s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 113.0.0.0,,,2023-05-31 18:18:24,2023-05-31 18:18:30,5.709s,PASSED
"setText(findTestObject(""PROJECT WEB/Common/Page_OrangeHRM/input_Username""), INVALIDUSERNAME)",Chrome 113.0.0.0,,,2023-05-31 18:18:30,2023-05-31 18:18:31,1.741s,PASSED
"setEncryptedText(findTestObject(""Object Repository/PROJECT WEB/Common/Page_OrangeHRM/input_Password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 113.0.0.0,,,2023-05-31 18:18:31,2023-05-31 18:18:32,0.494s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Common/Page_OrangeHRM/button_Login""))",Chrome 113.0.0.0,,,2023-05-31 18:18:32,2023-05-31 18:18:33,1.355s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PROJECT WEB/Common/Page_OrangeHRM/p_Invalid credentials""), 0)",Chrome 113.0.0.0,,,2023-05-31 18:18:33,2023-05-31 18:18:34,0.932s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-31 18:18:34,2023-05-31 18:18:35,0.791s,PASSED
,,,,,,,
Test Cases/PROJECT WEB/Common/F1_LoginFeatures/LF1_TC3_USER ENTER INVALID PASSWORD (N),Chrome 113.0.0.0,,,2023-05-31 18:18:35,2023-05-31 18:18:49,13.562s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-31 18:18:35,2023-05-31 18:18:37,1.341s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-31 18:18:37,2023-05-31 18:18:37,0.140s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 113.0.0.0,,,2023-05-31 18:18:37,2023-05-31 18:18:43,6.034s,PASSED
"setText(findTestObject(""Object Repository/PROJECT WEB/Common/Page_OrangeHRM/input_Username""), USERNAME)",Chrome 113.0.0.0,,,2023-05-31 18:18:43,2023-05-31 18:18:45,1.703s,PASSED
"setEncryptedText(findTestObject(""Object Repository/PROJECT WEB/Common/Page_OrangeHRM/input_Password""), INVALIDPASSWORD)",Chrome 113.0.0.0,,,2023-05-31 18:18:45,2023-05-31 18:18:45,0.496s,PASSED
"click(findTestObject(""Object Repository/PROJECT WEB/Common/Page_OrangeHRM/button_Login""))",Chrome 113.0.0.0,,,2023-05-31 18:18:45,2023-05-31 18:18:45,0.389s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PROJECT WEB/Common/Page_OrangeHRM/p_Invalid credentials""), 0)",Chrome 113.0.0.0,,,2023-05-31 18:18:45,2023-05-31 18:18:48,2.298s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-31 18:18:48,2023-05-31 18:18:49,0.802s,PASSED
